username,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,content_dup_score_max,lexical_similarity_score_mean,temporal_burst_score_max,posting_freq_per_hour_max,sna_out_deg_max,sna_in_deg_max,sna_betweenness_max,buzzer_label
_aridean,0.0012155216,0.0012155216,1,0,0.7209,0.0056,1.0,1,0.0,0.0,0.0,Non-Buzzer
RizkiTomooo,0.0012136098,0.0012136098,1,0,0.7528,0.0046,1.0,1,1.0,0.0,0.0,Non-Buzzer
daejeong095,0.0012095529,0.0012095529,1,0,0.5225,0.0087,1.0,1,1.0,0.0,0.0,Non-Buzzer
koabenk,0.001206846,0.001206846,1,0,0.5687,0.0066,1.0,1,0.0,0.0,0.0,Non-Buzzer
nuckyeah_,0.001206846,0.001206846,1,0,0.5857,0.0076,1.0,1,0.0,0.0,0.0,Non-Buzzer
chikxge,0.001206846,0.001206846,1,0,0.5657,0.0032,1.0,1,0.0,0.0,0.0,Non-Buzzer
_jrblaze,0.0012015136,0.0012015136,1,0,0.6121,0.004,1.0,1,0.0,0.0,0.0,Non-Buzzer
eepytome,0.0012015136,0.0012015136,1,0,0.6121,0.0015,1.0,1,0.0,0.0,0.0,Non-Buzzer
sarungwadymor,0.001200333,0.001200333,1,0,0.5215,0.0102,1.0,1,0.0,0.0,0.0,Non-Buzzer
detoge,0.001200333,0.001200333,1,0,0.5191,0.0105,1.0,1,0.0,0.0,0.0,Non-Buzzer
EmilleMaiki,0.001197502,0.001197502,1,0,0.3395,0.0076,1.0,1,0.0,0.0,0.0,Non-Buzzer
NovendraKesuma,0.0011969501,0.0011969501,1,0,0.2139,0.0082,1.0,1,1.0,0.0,0.0,Non-Buzzer
GOALIATHH,0.0011966685,0.0011966685,1,0,0.3012,0.0039,1.0,1,1.0,0.0,0.0,Non-Buzzer
kurmiked,0.0011885642,0.0011885642,1,0,0.5499,0.0012,1.0,1,1.0,0.0,0.0,Non-Buzzer
cucunyaopah,0.001186227,0.001186227,1,0,0.653,0.0026,1.0,1,1.0,0.0,0.0,Non-Buzzer
KuroNoLace,0.0011817862,0.0011817862,1,0,0.3949,0.0059,1.0,1,1.0,0.0,0.0,Non-Buzzer
RoadsidePleb,0.0011797149,0.0011797149,1,0,0.6965,0.008,1.0,1,0.0,0.0,0.0,Non-Buzzer
oscartotango,0.0011792313,0.0011792313,1,0,0.4788,0.0071,1.0,1,0.0,0.0,0.0,Non-Buzzer
386_hana,0.0011792313,0.0011792313,1,0,0.4726,0.0033,1.0,1,0.0,0.0,0.0,Non-Buzzer
trickymindful,0.0011749645,0.0011749645,1,0,0.3936,0.0102,1.0,1,0.0,0.0,0.0,Non-Buzzer
pajakocak,0.0011741214,0.0011741214,1,0,0.6146,0.01,1.0,1,1.0,0.0,0.0,Non-Buzzer
jimans_,0.0011735221,0.0011735221,1,0,0.347,0.0061,1.0,1,0.0,0.0,0.0,Non-Buzzer
Aprilia_wiji,0.0011710051,0.0011710051,1,0,0.511,0.0007,1.0,1,0.0,0.0,0.0,Non-Buzzer
noircinder,0.0011703294,0.0011703294,1,0,0.6679,0.0016,1.0,1,0.0,0.0,0.0,Non-Buzzer
thisisgnarly2,0.0011703294,0.0011703294,1,0,0.7171,0.0066,1.0,1,0.0,0.0,0.0,Non-Buzzer
ruangKoosongg,0.0011703294,0.0011703294,1,0,0.7352,0.0024,1.0,1,0.0,0.0,0.0,Non-Buzzer
boihitori,0.0011692418,0.0011692418,1,0,0.2606,0.0072,1.0,1,1.0,0.0,0.0,Non-Buzzer
msl1896,0.0011692039,0.0011692039,1,0,0.2969,0.0062,1.0,1,1.0,0.0,0.0,Non-Buzzer
hilizme,0.0011676514,0.0011676514,1,0,0.3296,0.0084,1.0,1,1.0,0.0,0.0,Non-Buzzer
makominato,0.0011619759,0.0011619759,1,0,0.5778,0.002,1.0,1,0.0,0.0,0.0,Non-Buzzer
thl1eo,0.0011619759,0.0011619759,1,0,0.6023,0.0007,1.0,1,0.0,0.0,0.0,Non-Buzzer
basemole,0.0011619759,0.0011619759,1,0,0.6003,0.0019,1.0,1,0.0,0.0,0.0,Non-Buzzer
Betspr,0.0011619759,0.0011619759,1,0,0.5624,0.002,1.0,1,0.0,0.0,0.0,Non-Buzzer
krisnaardis,0.0011619759,0.0011619759,1,0,0.5862,0.0013,1.0,1,0.0,0.0,0.0,Non-Buzzer
cutadh,0.0011619759,0.0011619759,1,0,0.5921,0.0043,1.0,1,0.0,0.0,0.0,Non-Buzzer
ar_saptra,0.0011619759,0.0011619759,1,0,0.5638,0.0023,1.0,1,0.0,0.0,0.0,Non-Buzzer
Lie_Detektor,0.001160622,0.001160622,1,0,0.3377,0.0125,1.0,1,1.0,0.0,0.0,Non-Buzzer
MyoKurt,0.0011560528,0.0011560528,1,0,0.625,0.007,1.0,1,1.0,0.0,0.0,Non-Buzzer
hejokayang,0.0011483978,0.0011483978,1,0,0.0,0.0,1.0,1,0.0,0.0,0.0,Non-Buzzer
rayzk46,0.0011470453,0.0011470453,1,0,0.5177,0.0093,1.0,1,0.0,0.0,0.0,Non-Buzzer
shirota280,0.001144373,0.001144373,1,0,0.5587,0.0019,1.0,1,1.0,0.0,0.0,Non-Buzzer
KuppaKingu_,0.0011405629,0.0011405629,1,0,0.3382,0.007,1.0,1,0.0,0.0,0.0,Non-Buzzer
AtsuMaru_o7,0.0011358524,0.0011358524,1,0,0.6987,0.0096,1.0,1,0.0,0.0,0.0,Non-Buzzer
