term,score
anime,1.4680466870361117
malu in,1.467922671649092
nambahin,1.4674195082394124
really,1.4643963881625088
eksekusinya,1.464381964362647
ipin,1.4631501125718682
upin,1.4631501125718682
upin ipin,1.4631501125718682
becus,1.4617811682802764
masukin,1.460126594452681
masak,1.4588608900567615
internet,1.4548971525486092
jd,1.4535072597081446
steamnya,1.452625586564626
coba cek,1.4524296590513912
beredar indonesia,1.4519197911961277
illegal,1.4512368539389808
jangan lupa,1.4490534144671519
pending,1.4462905016314906
mengacu,1.4458537000085778
astaghfirullah,1.4420052154379417
edukasi,1.4395489472321137
deploy,1.4379858843132636
bidang,1.4376418532467663
isinya boomer,1.4362192409881935
lawan,1.4320057983519003
bikin tidak,1.4307626568771226
at,1.4290547611475508
sepakat,1.4269400705413502
sistem pake,1.4259757229721375
resmi komdigi,1.4241294491653695
tolong,1.422794662801499
nekopara,1.4224738517135667
bpk,1.421600791692124
terima,1.4211552023832024
to be,1.420937381078872
way,1.4206338505182894
asik,1.4176500701309587
sok asik,1.4176500701309587
cek informasinya,1.4168571007343864
sibuk,1.4155727969846608
bangka,1.4149155913558278
penyempurnaan,1.411746385082589
mengisi,1.4111028049881937
kementerian,1.4105054150748075
keras,1.4091764381859524
dibanding,1.4087977722028362
situs,1.407792812736628
temen,1.406530376908774
argumen,1.4057571012823764
pengen,1.404932640984708
bubar,1.4042075662487197
love,1.400764710669776
kawal,1.399830414378992
jdi,1.39880163862263
hate,1.395001017615697
melanggar,1.3945783492797894
penerapannya,1.3939325787598036
hidup,1.3933512905782872
anak indonesia,1.393168668385955
resmi konteksnya,1.3929444145397338
need,1.3921682544419043
rame penjelasan,1.3914172574642871
suruh,1.3913955083173897
market indonesia,1.3911665911564377
top,1.3908790507754794
ngajarin,1.387451864506267
nutupin,1.383681009616473
gambaran utuh,1.3821855019976907
cero,1.381423536902944
when,1.3807987440319704
sistemnya masih,1.3784969113008751
tidak setuju,1.3772773578180608
meanwhile,1.3757505843081792
komdigi tolol,1.375738798519135
masih fase,1.3754409933354077
efektif,1.37487160405975
global,1.3747846581295347
final tujuannya,1.3747523928732797
tautan,1.3744701813076323
classification,1.3731400016446704
playing victim,1.3731311877981522
victim,1.3731311877981522
aaa,1.3726840576169268
simulator,1.3721281404507242
asli,1.3706460045570232
beda,1.368901767267685
turun,1.36799190752963
bu,1.3675849706879033
that the,1.3672739892054533
ekonomi,1.366181168467164
otomatis,1.3649042074918207
stafsus,1.3648734790238146
memilih,1.3628421382237104
bicara,1.3611416575582052
cause,1.3602158232641974
rumah,1.355520596911106
kena rc,1.348539701046752
with the,1.3477182296013746
keresahan,1.3473804806846463
balita,1.345342766372083
tidak beli,1.3421455996382796
something,1.341577740899926
evaluasi,1.340936127461671
gamer developer,1.340129367960568
is the,1.337662967273085
actually,1.3368610226612094
lawak,1.3356757465667635
sorry,1.3330378871413222
feel,1.3301344016686665
did,1.3295292541874026
gabisa,1.3286404246232828
personil,1.3285958256060197
playstore,1.3277448692113039
sensor,1.3274579983293715
oke,1.3261190782513124
should,1.3242101912975424
toge,1.3229583104094038
hoax,1.3226687278323268
informasinya lengkap,1.3223346665604043
gov,1.322077227849287
aldo,1.320378751711203
cape,1.3203509684560384
debat baca,1.3201380718262552
timeline,1.317422721636002
otak,1.3154248399576258
hubungan,1.3152825807071609
bangsat,1.3128538953810216
perihal,1.312175568996111
maniak,1.3100195072232739
tujuan utamanya,1.3084687441536391
questionare,1.3066607726270516
