Id,Label,username,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,content_dup_score_max,temporal_burst_score_max,sna_out_deg_max,sna_in_deg_max,posting_freq_per_hour_max,binary_label_gephi
sulistia2323,sulistia2323,sulistia2323,0.0017749614780768,0.0017749614780768,1,0,0.3918,1.0,0.0,0.0,1.0,Non-Buzzer
sunshin53314704,sunshin53314704,sunshin53314704,0.9880996346473694,0.9880996346473694,1,1,0.48,1.0,0.0,0.0,1.0,Buzzer
supernovatuna,supernovatuna,supernovatuna,0.0066577517427504,0.0066577517427504,1,0,0.4833,1.0,0.0,0.0,1.0,Non-Buzzer
susahberaq,susahberaq,susahberaq,0.0016444213688373,0.0016444213688373,1,0,0.4317,1.0,0.0,0.0,1.0,Non-Buzzer
sutaduatiga,sutaduatiga,sutaduatiga,0.003142534289509,0.002375048585236,2,0,0.5884,0.5,1.0,0.0,1.0,Non-Buzzer
suwmade,suwmade,suwmade,0.0008857601787894,0.0008857601787894,1,0,0.0,1.0,0.0,0.0,1.0,Non-Buzzer
swtpty,swtpty,swtpty,0.0176293607801198,0.0176293607801198,1,0,0.6335,1.0,0.0,0.0,1.0,Non-Buzzer
syizuril,syizuril,syizuril,0.0011184285394847,0.0011184285394847,1,0,0.2538,1.0,1.0,0.0,1.0,Non-Buzzer
tahuangkasa,tahuangkasa,tahuangkasa,0.0019773449748754,0.0019773449748754,1,0,0.4158,1.0,1.0,0.0,1.0,Non-Buzzer
tapdibdab,tapdibdab,tapdibdab,0.0014955014921724,0.0014955014921724,1,0,0.0,1.0,0.0,0.0,1.0,Non-Buzzer
tauvik1212,tauvik1212,tauvik1212,0.9126027822494508,0.8279263973236084,2,1,0.7368,0.5,1.0,0.0,1.0,Buzzer
tekarok007,tekarok007,tekarok007,0.0054880590178072,0.003619534894824,3,0,0.4895,0.6666666666666666,0.0,1.0,2.0,Non-Buzzer
tenderousy,tenderousy,tenderousy,0.0038983353879302,0.0038983353879302,1,0,0.3968,1.0,0.0,0.0,1.0,Non-Buzzer
tetsurowifeeyy,tetsurowifeeyy,tetsurowifeeyy,0.0007979353540576,0.0007979353540576,1,0,0.3294,1.0,0.0,0.0,1.0,Non-Buzzer
textcbnkuningan,textcbnkuningan,textcbnkuningan,0.0067586568184196,0.0067586568184196,1,0,0.0,1.0,0.0,0.0,1.0,Non-Buzzer
thefallenpea,thefallenpea,thefallenpea,0.0030893865041434,0.0030893865041434,1,0,0.4091,1.0,1.0,0.0,1.0,Non-Buzzer
theycallmee_G,theycallmee_G,theycallmee_G,0.0122217573225498,0.0122217573225498,1,0,1.0,1.0,1.0,0.0,1.0,Non-Buzzer
thisisgnarly2,thisisgnarly2,thisisgnarly2,0.0011703294003382,0.0011703294003382,1,0,0.7171,1.0,0.0,0.0,1.0,Non-Buzzer
thl1eo,thl1eo,thl1eo,0.0011619759025052,0.0011619759025052,1,0,0.6023,1.0,0.0,0.0,1.0,Non-Buzzer
thmsky,thmsky,thmsky,0.0036641436163336,0.0036641436163336,1,0,0.4199,1.0,1.0,0.0,1.0,Non-Buzzer
