Id,Label,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,binary_label_gephi,sna_out_deg_max,sna_in_deg_max,content_dup_score_max,temporal_burst_score_max,in_degree,out_degree,degree_centrality,betweenness_centrality,closeness_centrality,pagerank,eigenvector_centrality
patarnotstar,patarnotstar,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
storieselk,storieselk,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puspen_PKI,Puspen_PKI,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadrunbagsat,Kadrunbagsat,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
awarman06,awarman06,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RickFilmsTwo,RickFilmsTwo,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
txtdrgame,txtdrgame,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affectio_seeker,affectio_seeker,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selalumautauu,selalumautauu,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RahmanSuwi6198,RahmanSuwi6198,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MoRifky,MoRifky,0.0,0.0,0,0,Non-Buzzer,,,,,1.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.019566423754292732,0.025217553093049575
BosPurwa,BosPurwa,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
royyannn,royyannn,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ankbwn,ankbwn,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agarpac,agarpac,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rizki33new,rizki33new,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thejjkimm,thejjkimm,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tanyakanrl,tanyakanrl,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alf90596480,Alf90596480,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72labs,72labs,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elbrutico_555,elbrutico_555,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sunsetJhesus,sunsetJhesus,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rujakkks262598,Rujakkks262598,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XxEscAltF4,XxEscAltF4,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aniesbaswedan,aniesbaswedan,0.0,0.0,0,0,Non-Buzzer,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
