content_dup_score,lexical_similarity_score,semantic_dup_score,semantic_similarity_score,temporal_burst_score,posting_freq_per_hour,sna_out_deg,sna_in_deg
0.6607,0.0091,0.6996728,0.29566947,1.0,1,1.0,0.0
0.2767,0.0117,0.6437472,0.27579138,1.0,1,1.0,0.0
0.5177,0.0093,0.7952253,0.2819887,1.0,1,0.0,0.0
0.5137,0.008,0.7896892,0.329274,1.0,1,1.0,0.0
0.3657,0.0233,0.7823219,0.45065117,1.0,1,1.0,0.0
0.5668,0.0177,0.9282067,0.41844037,1.0,1,0.0,0.0
0.2671,0.0187,0.7267161,0.37320164,1.0,1,1.0,0.0
0.2774,0.0122,0.66430736,0.32748112,1.0,1,0.0,0.0
0.3866,0.0104,0.8311374,0.28823525,1.0,1,0.0,0.0
0.4556,0.0295,0.8322818,0.43873268,0.6666666666666666,2,1.0,0.0
0.2515,0.0132,0.8489013,0.42308056,1.0,1,0.0,0.0
0.48,0.0154,0.9180511,0.42054412,1.0,1,0.0,0.0
0.3782,0.0109,0.7440712,0.39532697,1.0,1,1.0,0.0
0.4181,0.0121,0.8919585,0.42776796,1.0,1,0.0,0.0
0.381,0.001,0.61958295,0.21806958,1.0,1,1.0,0.0
0.2547,0.0124,0.815886,0.46897665,1.0,1,0.0,0.0
0.3306,0.0209,0.72077954,0.41512614,0.3333333333333333,1,2.0,0.0
0.3202,0.0021,0.7267182,0.26662883,1.0,1,0.0,0.0
0.7725,0.0071,0.74345946,0.35245517,1.0,1,0.0,0.0
0.3408,0.0256,0.8183727,0.42263216,0.6666666666666666,2,1.0,0.0
0.4483,0.0103,0.6963893,0.2221272,1.0,1,0.0,0.0
0.6021,0.0077,0.7846528,0.41233602,0.5,1,0.0,0.0
0.5986,0.0113,0.8942218,0.43844733,1.0,1,0.0,0.0
0.4091,0.0154,0.61641955,0.3576053,1.0,1,1.0,0.0
0.3317,0.0238,0.8101078,0.40773717,1.0,3,0.0,0.0
0.2801,0.0099,0.84774315,0.41543576,1.0,3,0.0,0.0
1.0,0.016,0.7761145,0.22762886,1.0,1,0.0,0.0
0.3384,0.018,0.7955937,0.3650776,1.0,1,1.0,0.0
0.406,0.017,0.6220097,0.3210789,1.0,1,1.0,0.0
0.2586,0.0105,0.74290526,0.3731229,0.5,1,0.0,0.0
0.6153,0.0312,0.9064754,0.4334221,0.8,4,4.0,0.0
0.5888,0.0021,0.9011446,0.3548218,1.0,1,0.0,0.0
0.2856,0.0129,0.6100051,0.2934626,1.0,1,1.0,0.0
0.9539,0.0141,0.9581189,0.30673525,1.0,1,0.0,0.0
0.4033,0.0056,0.58497,0.15767819,1.0,1,0.0,0.0
0.4519,0.0068,0.91005963,0.43871617,1.0,1,0.0,0.0
0.368,0.0173,0.84990513,0.40473077,1.0,1,1.0,0.0
0.3898,0.0089,0.7019889,0.30603546,1.0,3,0.0,0.0
0.4943,0.0252,0.86684763,0.4567092,1.0,1,1.0,0.0
0.34,0.0065,0.7704635,0.36395863,1.0,1,1.0,0.0
1.0,0.0035,0.93901145,0.3736698,1.0,1,0.0,0.0
0.3198,0.0184,0.72800696,0.40387988,0.5,1,0.0,0.0
0.7313,0.006,0.6979971,0.26791957,1.0,1,0.0,0.0
0.4041,0.0132,0.71202075,0.37164778,1.0,1,1.0,0.0
0.4358,0.0029,0.704978,0.25573084,0.5,1,1.0,0.0
0.3403,0.0123,0.6651052,0.32433733,1.0,1,0.0,0.0
1.0,0.0137,1.0000001,0.4404381,1.0,1,0.0,0.0
0.2822,0.0036,0.6503135,0.1736153,0.5,1,0.0,0.0
0.604,0.0153,0.91560125,0.37513924,1.0,1,0.0,0.0
0.5603,0.0026,0.9024346,0.33033288,1.0,1,0.0,0.0
0.2659,0.0129,0.8217305,0.38193294,0.5,1,0.0,0.0
0.4164,0.005,0.8789669,0.3245734,0.3333333333333333,1,1.0,0.0
0.3215,0.0074,0.61677885,0.29338023,1.0,1,0.0,0.0
0.3968,0.0203,0.81471574,0.3640052,1.0,1,0.0,0.0
0.2555,0.0068,0.6931101,0.390865,1.0,1,1.0,0.0
0.3295,0.0163,0.6338064,0.32200405,0.6,3,2.0,3.0
1.0,0.016,0.7952253,0.23853187,1.0,1,0.0,0.0
0.6214,0.0038,0.6212541,0.33950913,1.0,1,1.0,1.0
0.5624,0.0159,0.7944921,0.34602034,1.0,1,1.0,0.0
0.4566,0.0147,0.92528725,0.43459797,1.0,1,0.0,0.0
0.3754,0.0047,0.6912768,0.18966362,1.0,1,1.0,0.0
0.8088,0.0111,0.9335116,0.48532686,1.0,1,0.0,0.0
